listener_thread started[16164]
Start spider workers...
[2020-04-05 15:09:34,117]-[Process-2-MainThread-(INFO)SpiderWorker.py:26]:Started process[6676]-location[werribee]...
[2020-04-05 15:09:34,117]-[Process-2-MainThread-(INFO)Realestate.py:84]:Starting to fetch candidates from [https://suggest.realestate.com.au/consumer-suggest/suggestions?max=7&type=suburb%2Cprecinct%2Cregion%2Cstate%2Cpostcode&src=homepage&query=werribee]...
[2020-04-05 15:09:34,120]-[Process-1-MainThread-(INFO)SpiderWorker.py:26]:Started process[17440]-location[coydon]...
[2020-04-05 15:09:34,120]-[Process-3-MainThread-(INFO)SpiderWorker.py:26]:Started process[4160]-location[ringwood]...
[2020-04-05 15:09:34,121]-[Process-3-MainThread-(INFO)Realestate.py:84]:Starting to fetch candidates from [https://suggest.realestate.com.au/consumer-suggest/suggestions?max=7&type=suburb%2Cprecinct%2Cregion%2Cstate%2Cpostcode&src=homepage&query=ringwood]...
[2020-04-05 15:09:34,121]-[Process-1-MainThread-(INFO)Realestate.py:84]:Starting to fetch candidates from [https://suggest.realestate.com.au/consumer-suggest/suggestions?max=7&type=suburb%2Cprecinct%2Cregion%2Cstate%2Cpostcode&src=homepage&query=coydon]...
[2020-04-05 15:09:35,085]-[Process-3-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Ringwood, VIC 3134]
[2020-04-05 15:09:35,085]-[Process-3-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Ringwood East, VIC 3135]
[2020-04-05 15:09:35,085]-[Process-3-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Ringwood North, VIC 3134]
[2020-04-05 15:09:35,085]-[Process-3-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Ringwood, QLD 4343]
[2020-04-05 15:09:35,086]-[Process-3-MainThread-(WARNING)Realestate.py:107]:candidate_location[Ringwood, QLD 4343] is not valid
[2020-04-05 15:09:35,086]-[Process-3-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Ringwood, NSW 2646]
[2020-04-05 15:09:35,086]-[Process-3-MainThread-(WARNING)Realestate.py:107]:candidate_location[Ringwood, NSW 2646] is not valid
[2020-04-05 15:09:35,086]-[Process-3-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Springwood, QLD 4127]
[2020-04-05 15:09:35,086]-[Process-3-MainThread-(WARNING)Realestate.py:107]:candidate_location[Springwood, QLD 4127] is not valid
[2020-04-05 15:09:35,086]-[Process-3-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Springwood, NSW 2777]
[2020-04-05 15:09:35,087]-[Process-3-MainThread-(WARNING)Realestate.py:107]:candidate_location[Springwood, NSW 2777] is not valid
[2020-04-05 15:09:35,121]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Croydon, VIC 3136]
[2020-04-05 15:09:35,121]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Croydon South, VIC 3136]
[2020-04-05 15:09:35,122]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Croydon Hills, VIC 3136]
[2020-04-05 15:09:35,122]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Croydon North, VIC 3136]
[2020-04-05 15:09:35,122]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Croydon Park, NSW 2133]
[2020-04-05 15:09:35,122]-[Process-1-MainThread-(WARNING)Realestate.py:107]:candidate_location[Croydon Park, NSW 2133] is not valid
